Lighting,Weather,HWY_Factor,Factors_Ro,X,Y,Crash_Seve,Crash_Date,Distance,Dir,Agency,Accident_R,AREA,PERIMETER,WARD,ACRES,SQ_MILES,AREA_1,LEN,Primary_St,Secondary_
,CLEAR,,,-115.1160787,36.18262853,PROPERTY DAMAGE ONLY,01/01/2016,150,N,LVMPD,2210217,321293667.394449,122795.074116,3,7375.91718487,11.5248706,321293667.394,122795.074116,EASTERN AVE,JANSEN AVE
DAYLIGHT,CLEAR,NONE,DRY,-115.1653799,36.15042053,INJURY CRASH,01/01/2016,1000,N,NHP,2214980,321293667.394449,122795.074116,3,7375.91718487,11.5248706,321293667.394,122795.074116,IR15N,SR589W/E TO IR15N INT40
DAYLIGHT,CLEAR,NONE,DRY,-115.1593287,36.15871764,PROPERTY DAMAGE ONLY,01/01/2016,2,S,NHP,2214989,321293667.394449,122795.074116,3,7375.91718487,11.5248706,321293667.394,122795.074116,IR15N TO SR159E INT41,SR159
DARK - SPOT LIGHTING,CLEAR,NONE,DRY,-115.16675900000001,36.14885574,PROPERTY DAMAGE ONLY,01/01/2016,300,N,NHP,2214990,321293667.394449,122795.074116,3,7375.91718487,11.5248706,321293667.394,122795.074116,IR15N,SR589W/E TO IR15N INT40
DARK - SPOT LIGHTING,CLEAR,NONE,WET,-115.16384199999999,36.15216669,PROPERTY DAMAGE ONLY,01/01/2016,1200,S,NHP,2214997,321293667.394449,122795.074116,3,7375.91718487,11.5248706,321293667.394,122795.074116,IR15N,IR15N TO SR159E INT41
DARK - SPOT LIGHTING,CLEAR,NONE,DRY,-115.1654784,36.15030879,PROPERTY DAMAGE ONLY,01/01/2016,950,N,NHP,2214998,321293667.394449,122795.074116,3,7375.91718487,11.5248706,321293667.394,122795.074116,IR15N,SR589W/E TO IR15N INT40
DARK - CONTINUOUS LIGHTING,CLEAR,NONE,DRY,-115.0883892,36.16789562,INJURY CRASH,01/01/2016,0,AT INT,LVMPD,2221377,321293667.394449,122795.074116,3,7375.91718487,11.5248706,321293667.394,122795.074116,LEHMAN ST,CENTURY DR
DAYLIGHT,CLEAR,NONE,DRY,-115.116476,36.16095408,INJURY CRASH,01/01/2016,800,N,LVMPD,2221389,321293667.394449,122795.074116,3,7375.91718487,11.5248706,321293667.394,122795.074116,EASTERN AVE,SR582
DARK - CONTINUOUS LIGHTING,CLEAR,NONE,DRY,-115.14127090000001,36.16817749,PROPERTY DAMAGE ONLY,01/01/2016,103,N,LVMPD,2221398,321293667.394449,122795.074116,3,7375.91718487,11.5248706,321293667.394,122795.074116,LAS VEGAS BLVD,CARSON AVE
DARK - SPOT LIGHTING,RAIN,"WET, ICY, SNOW, SLUSH",WET,-115.108407,36.16768124,PROPERTY DAMAGE ONLY,01/01/2016,645,E,NHP,2224506,321293667.394449,122795.074116,3,7375.91718487,11.5248706,321293667.394,122795.074116,US95N,US95N TO FRCL53 N/S INT73
DARK - SPOT LIGHTING,CLEAR,NONE,,-115.09831909999998,36.18798889,INJURY CRASH,01/01/2016,0,AT INT,NLPD,2215781,321293667.394449,122795.074116,3,7375.91718487,11.5248706,321293667.394,122795.074116,OWENS AVE,N PECOS RD
DARK - SPOT LIGHTING,CLEAR,NONE,DRY,-115.17542490000001,36.13901113,PROPERTY DAMAGE ONLY,01/01/2016,600,S,NHP,2214956,476978816.39797306,181083.82684135,1,10949.97071439,17.10932924,476978816.398,181083.826841,IR15N,IR15N TO SR589W/E INT40
DARK - SPOT LIGHTING,CLEAR,NONE,DRY,-115.1600952,36.16533614,PROPERTY DAMAGE ONLY,01/01/2016,600,N,NHP,2214986,476978816.39797306,181083.82684135,1,10949.97071439,17.10932924,476978816.398,181083.826841,IR15S,IR15S TO MLK/SR159 INT41
DARK - SPOT LIGHTING,CLEAR,NONE,WET,-115.1730618,36.14169417,PROPERTY DAMAGE ONLY,01/01/2016,600,N,NHP,2214993,476978816.39797306,181083.82684135,1,10949.97071439,17.10932924,476978816.398,181083.826841,IR15N,IR15N TO SR589W/E INT40
DARK - SPOT LIGHTING,CLEAR,NONE,DRY,-115.2340689,36.14703911,INJURY CRASH,01/01/2016,10,N,LVMPD,2221376,476978816.39797306,181083.82684135,1,10949.97071439,17.10932924,476978816.398,181083.826841,S TORREY PINES DR,VICUNA DR
DARK - SPOT LIGHTING,CLEAR,NONE,DRY,-115.20133349999999,36.17334524,PROPERTY DAMAGE ONLY,01/01/2016,1500,E,NHP,2224355,476978816.39797306,181083.82684135,1,10949.97071439,17.10932924,476978816.398,181083.826841,DECATUR BLVD N/S TO US95S INT79,DECATUR BLVD
DARK - SPOT LIGHTING,CLEAR,OTHER ENVIRONMENTAL,DRY,-115.1993612,36.17394557,PROPERTY DAMAGE ONLY,01/01/2016,330,E,NHP,2224356,476978816.39797306,181083.82684135,1,10949.97071439,17.10932924,476978816.398,181083.826841,US95S,DECATUR BLVD N/S TO US95S INT79
DAYLIGHT,CLEAR,NONE,DRY,-115.2043814,36.1722041,INJURY CRASH,01/01/2016,500,E,NHP,2214985,476978816.39797306,181083.82684135,1,10949.97071439,17.10932924,476978816.398,181083.826841,DECATUR BLVD N/S TO US95S INT79,DECATUR BLVD
DAYLIGHT,CLEAR,NONE,DRY,-115.2168588,36.23165646,PROPERTY DAMAGE ONLY,01/01/2016,38,W,LVMPD,2210208,396602583.98757404,258219.53201136,5,9105.88864499,14.22795101,396650922.76699996,258828.92186799998,W ALEXANDER RD,BRADLEY RD
DARK - CONTINUOUS LIGHTING,CLEAR,NONE,DRY,-115.21196909999999,36.21683777,PROPERTY DAMAGE ONLY,01/01/2016,67,S,LVMPD,2221383,396602583.98757404,258219.53201136,5,9105.88864499,14.22795101,396650922.76699996,258828.92186799998,SR599,SR574
DARK - SPOT LIGHTING,CLEAR,NONE,DRY,-115.13767379999999,36.17383536,PROPERTY DAMAGE ONLY,01/01/2016,20,S,NHP,2224353,396602583.98757404,258219.53201136,5,9105.88864499,14.22795101,396650922.76699996,258828.92186799998,LAS VEGAS BLVD,SR604 S/N TO US95N INT75B
DAYLIGHT,CLEAR,NONE,DRY,-115.15760619999999,36.17073766,PROPERTY DAMAGE ONLY,01/01/2016,200,N,NHP,2214964,396602583.98757404,258219.53201136,5,9105.88864499,14.22795101,396650922.76699996,258828.92186799998,IR15N,IR15N TO US95S INT42
DAYLIGHT,CLEAR,ROAD OBSTRUCTION,DRY,-115.15784120000001,36.17031132,PROPERTY DAMAGE ONLY,01/01/2016,30,N,NHP,2214965,396602583.98757404,258219.53201136,5,9105.88864499,14.22795101,396650922.76699996,258828.92186799998,IR15N,IR15N TO US95S INT42
DAYLIGHT,CLEAR,NONE,DRY,-115.1438848,36.18439217,PROPERTY DAMAGE ONLY,01/01/2016,100,N,NHP,2214971,396602583.98757404,258219.53201136,5,9105.88864499,14.22795101,396650922.76699996,258828.92186799998,IR15S,IR15S TO SR578 INT43
DUSK,CLOUDY,NONE,DRY,-115.15541090000002,36.17382892,INJURY CRASH,01/01/2016,100,S,NHP,2214988,396602583.98757404,258219.53201136,5,9105.88864499,14.22795101,396650922.76699996,258828.92186799998,IR15S,MILE MARKER 42.83
DAWN,CLEAR,NONE,DRY,-115.242157,36.19762536,INJURY CRASH,01/01/2016,60,N,NHP,2356295,396602583.98757404,258219.53201136,5,9105.88864499,14.22795101,396650922.76699996,258828.92186799998,RAINBOW BLVD TO US95N INT82,RAINBOW BLVD
DARK - SPOT LIGHTING,CLEAR,NONE,DRY,-115.2467814,36.23387523,INJURY CRASH,01/01/2016,1000,S,NHP,2224362,553002311.092394,288225.99693598,4,12706.62489887,19.85410141,553498366.595,290462.375356,US95N,US95N TO SR573W/E INT85
DARK - NO LIGHTING,CLEAR,NONE,DRY,-115.28818290000001,36.26998413,INJURY CRASH,01/01/2016,0,AT INT,LVMPD,2221382,184898368.163071,153149.59033016,0,4244.699443500001,6.63234288,184898368.163,153149.59033,W TROPICAL PKWY,N EL CAPITAN WAY
DARK - CONTINUOUS LIGHTING,CLEAR,NONE,DRY,-115.29768529999998,36.14428616,PROPERTY DAMAGE ONLY,01/02/2016,5,N,LVMPD,2221414,814842368.871134,159606.44090370002,2,18706.28164028,29.22856507,814842368.871,159606.440904,FORT APACHE RD,SAHARA AVE
DARK - CONTINUOUS LIGHTING,CLEAR,NONE,DRY,-115.2802858,36.15891258,INJURY CRASH,01/02/2016,0,AT INT,LVMPD,2221417,814842368.871134,159606.44090370002,2,18706.28164028,29.22856507,814842368.871,159606.440904,SR159,S DURANGO DR
DARK - SPOT LIGHTING,CLEAR,NONE,DRY,-115.34117649999999,36.18156045,INJURY CRASH,01/02/2016,100,N,NHP,2215000,814842368.871134,159606.44090370002,2,18706.28164028,29.22856507,814842368.871,159606.440904,FAR HILLS AVE E TO CC215N,FAR HILLS AVE
DAYLIGHT,CLOUDY,NONE,DRY,-115.1365426,36.15568571,INJURY CRASH,01/02/2016,20,N,LVMPD,2210225,321293667.394449,122795.074116,3,7375.91718487,11.5248706,321293667.394,122795.074116,MARYLAND PKWY,NORMAN AVE
DAYLIGHT,CLOUDY,NONE,WET,-115.16400149999998,36.15198579,PROPERTY DAMAGE ONLY,01/02/2016,1700,N,NHP,2215013,321293667.394449,122795.074116,3,7375.91718487,11.5248706,321293667.394,122795.074116,IR15N,SR589W/E TO IR15N INT40
DAYLIGHT,CLEAR,NONE,WET,-115.16636509999998,36.14930289,PROPERTY DAMAGE ONLY,01/02/2016,500,N,NHP,2215017,321293667.394449,122795.074116,3,7375.91718487,11.5248706,321293667.394,122795.074116,IR15N,SR589W/E TO IR15N INT40
DARK - NO LIGHTING,CLEAR,NONE,DRY,-115.13370970000001,36.17561577,PROPERTY DAMAGE ONLY,01/02/2016,70,E,LVMPD,2221405,321293667.394449,122795.074116,3,7375.91718487,11.5248706,321293667.394,122795.074116,E WILSON AVE,N 9TH ST
DAYLIGHT,CLEAR,NONE,DRY,-115.09339809999999,36.16340892,PROPERTY DAMAGE ONLY,01/02/2016,100,N,NHP,2224367,321293667.394449,122795.074116,3,7375.91718487,11.5248706,321293667.394,122795.074116,US95S,US95S TO SR159E/W INT72
DAYLIGHT,CLEAR,NONE,DRY,-115.1632513,36.1528375,PROPERTY DAMAGE ONLY,01/02/2016,900,S,NHP,2224375,321293667.394449,122795.074116,3,7375.91718487,11.5248706,321293667.394,122795.074116,IR15N,IR15N TO SR159E INT41
DARK - SPOT LIGHTING,CLEAR,NONE,DRY,-115.1671529,36.14840858,INJURY CRASH,01/02/2016,100,N,NHP,2224377,321293667.394449,122795.074116,3,7375.91718487,11.5248706,321293667.394,122795.074116,IR15N,SR589W/E TO IR15N INT40
DAYLIGHT,CLEAR,NONE,DRY,-115.24443640000001,36.17382835,PROPERTY DAMAGE ONLY,01/02/2016,60,N,LVMPD,2210224,476978816.39797306,181083.82684135,1,10949.97071439,17.10932924,476978816.398,181083.826841,SR595,WESTCLIFF DR
DAYLIGHT,CLOUDY,NONE,DRY,-115.1704279,36.1440054,INJURY CRASH,01/02/2016,0,AT INT,NHP,2215009,476978816.39797306,181083.82684135,1,10949.97071439,17.10932924,476978816.398,181083.826841,SR589,SR589W/E TO IR15N INT40
DARK - SPOT LIGHTING,CLEAR,NONE,DRY,-115.1645527,36.15170839,PROPERTY DAMAGE ONLY,01/02/2016,100,N,NHP,2215016,476978816.39797306,181083.82684135,1,10949.97071439,17.10932924,476978816.398,181083.826841,IR15S,MLK N/S /SR159 TO IR15S INT41
DARK - CONTINUOUS LIGHTING,CLEAR,NONE,DRY,-115.2513524,36.21807022,INJURY CRASH,01/02/2016,0,AT INT,LVMPD,2221415,476978816.39797306,181083.82684135,1,10949.97071439,17.10932924,476978816.398,181083.826841,CHEYENNE AVE,N TENAYA WAY
DARK - CONTINUOUS LIGHTING,CLOUDY,NONE,DRY,-115.22394560000001,36.15906368,INJURY CRASH,01/02/2016,0,AT INT,LVMPD,2221416,476978816.39797306,181083.82684135,1,10949.97071439,17.10932924,476978816.398,181083.826841,SR596,SR159
DARK - SPOT LIGHTING,CLEAR,NONE,DRY,-115.1608335,36.15872264,PROPERTY DAMAGE ONLY,01/02/2016,0,AT INT,NHP,2224365,476978816.39797306,181083.82684135,1,10949.97071439,17.10932924,476978816.398,181083.826841,SR159,MARTIN L KING BLVD
DARK - SPOT LIGHTING,CLEAR,NONE,DRY,-115.1428767,36.17502925,PROPERTY DAMAGE ONLY,01/02/2016,100,N,NHP,2215021,396602583.98757404,258219.53201136,5,9105.88864499,14.22795101,396650922.76699996,258828.92186799998,US95N,SR604 S/N TO US95N INT75B
DAYLIGHT,CLOUDY,NONE,DRY,-115.160781,36.17456024,PROPERTY DAMAGE ONLY,01/02/2016,0,AT INT,NHP,2215008,396602583.98757404,258219.53201136,5,9105.88864499,14.22795101,396650922.76699996,258828.92186799998,MARTIN L KING BLVD,US95S TO FRCL54/MLK INT76
DARK - SPOT LIGHTING,CLEAR,NONE,DRY,-115.1464418,36.17980135,PROPERTY DAMAGE ONLY,01/02/2016,500,S,NHP,2224378,396602583.98757404,258219.53201136,5,9105.88864499,14.22795101,396650922.76699996,258828.92186799998,IR15S,IR15S TO US95N/MLK N/S INT42
DARK - SPOT LIGHTING,CLEAR,NONE,DRY,-115.13158770000001,36.18104559,PROPERTY DAMAGE ONLY,01/02/2016,30,E,NHP,2215001,396602583.98757404,258219.53201136,5,9105.88864499,14.22795101,396650922.76699996,258828.92186799998,E WASHINGTON AVE,SAWYER BLDG ACCESS 1
DARK - SPOT LIGHTING,CLOUDY,NONE,DRY,-115.2469882,36.23634649,INJURY CRASH,01/02/2016,100,S,NHP,2215022,553002311.092394,288225.99693598,4,12706.62489887,19.85410141,553498366.595,290462.375356,US95S,SR573W/E TO US95S INT85
DARK - SPOT LIGHTING,RAIN,"WET, ICY, SNOW, SLUSH",DRY,-115.25246499999999,36.26288536,PROPERTY DAMAGE ONLY,01/02/2016,15,S,NHP,2224538,553002311.092394,288225.99693598,4,12706.62489887,19.85410141,553498366.595,290462.375356,SR599N TO ANN RD INT90B,ANN RD
DARK - CONTINUOUS LIGHTING,CLEAR,NONE,DRY,-115.2601524,36.30909282,PROPERTY DAMAGE ONLY,01/03/2016,6,N,LVMPD,2221428,1396099629.68306,625331.69844141,6,31991.49041434,49.98670378,1393543746.89,619305.71957,SILVERSTONE RANCH DR,RACEL ST
DARK - CONTINUOUS LIGHTING,CLEAR,NONE,DRY,-115.27902959999999,36.13631319,FATAL CRASH,01/03/2016,147,S,LVMPD,2221432,814842368.871134,159606.44090370002,2,18706.28164028,29.22856507,814842368.871,159606.440904,S DURANGO DR,EDNA AVE
DARK - NO LIGHTING,CLEAR,NONE,DRY,-115.3045856,36.18549029,PROPERTY DAMAGE ONLY,01/03/2016,1155,W,NHP,2224387,814842368.871134,159606.44090370002,2,18706.28164028,29.22856507,814842368.871,159606.440904,W SUMMERLIN PKWY,SUMMERLIN PKWY W TO TOWN CENTER DR N
DARK - CONTINUOUS LIGHTING,CLEAR,NONE,DRY,-115.0759315,36.16620798,INJURY CRASH,01/03/2016,17,W,LVMPD,2210243,321293667.394449,122795.074116,3,7375.91718487,11.5248706,321293667.394,122795.074116,STEWART AVE,PAGE ST
DARK - SPOT LIGHTING,CLOUDY,NONE,DRY,-115.16685749999999,36.14874395,INJURY CRASH,01/03/2016,250,N,NHP,2215035,321293667.394449,122795.074116,3,7375.91718487,11.5248706,321293667.394,122795.074116,IR15N,SR589W/E TO IR15N INT40
DARK - CONTINUOUS LIGHTING,CLEAR,NONE,DRY,-115.1250956,36.1799393,INJURY CRASH,01/03/2016,404,S,LVMPD,2221429,321293667.394449,122795.074116,3,7375.91718487,11.5248706,321293667.394,122795.074116,N BRUCE ST,E WASHINGTON AVE
DARK - SPOT LIGHTING,CLEAR,NONE,WET,-115.09214850000001,36.16176824,INJURY CRASH,01/03/2016,1000,N,NHP,2224391,321293667.394449,122795.074116,3,7375.91718487,11.5248706,321293667.394,122795.074116,US95N,MILE MARKER 71.65
DARK - SPOT LIGHTING,CLEAR,NONE,DRY,-115.13332890000001,36.17170609,PROPERTY DAMAGE ONLY,01/03/2016,217,N,NHP,2224385,321293667.394449,122795.074116,3,7375.91718487,11.5248706,321293667.394,122795.074116,US95N,US95N TO SR604 N/S INT75B
DARK - SPOT LIGHTING,CLEAR,NONE,DRY,-115.12404690000001,36.167913399999996,PROPERTY DAMAGE ONLY,01/03/2016,1000,W,NHP,2309932,321293667.394449,122795.074116,3,7375.91718487,11.5248706,321293667.394,122795.074116,US95N,FRCL53 S/N TO US95N INT73
DARK - CONTINUOUS LIGHTING,CLEAR,NONE,DRY,-115.1407129,36.15870071,INJURY CRASH,01/03/2016,73,E,LVMPD,2221430,321293667.394449,122795.074116,3,7375.91718487,11.5248706,321293667.394,122795.074116,SR159,S 10TH ST W
DUSK,CLEAR,NONE,DRY,-115.1704279,36.1440054,INJURY CRASH,01/03/2016,0,AT INT,LVMPD,2210241,476978816.39797306,181083.82684135,1,10949.97071439,17.10932924,476978816.398,181083.826841,IR15N TO SR589W/E INT40,SR589
DARK - SPOT LIGHTING,CLEAR,NONE,DRY,-115.1704279,36.1440054,INJURY CRASH,01/03/2016,0,AT INT,NHP,2215040,476978816.39797306,181083.82684135,1,10949.97071439,17.10932924,476978816.398,181083.826841,SR589,SR589W/E TO IR15N INT40
DARK - CONTINUOUS LIGHTING,CLEAR,NONE,DRY,-115.20125790000002,36.15890962,INJURY CRASH,01/03/2016,10,E,LVMPD,2221424,476978816.39797306,181083.82684135,1,10949.97071439,17.10932924,476978816.398,181083.826841,SR159,FAIRCENTER PKWY
DARK - NO LIGHTING,CLEAR,NONE,DRY,-115.1608335,36.15872264,INJURY CRASH,01/03/2016,0,AT INT,NHP,2224382,476978816.39797306,181083.82684135,1,10949.97071439,17.10932924,476978816.398,181083.826841,SR159,MARTIN L KING BLVD
DAYLIGHT,CLEAR,NONE,DRY,-115.1667838,36.14387932,PROPERTY DAMAGE ONLY,01/03/2016,250,E,NHP,2224388,476978816.39797306,181083.82684135,1,10949.97071439,17.10932924,476978816.398,181083.826841,SR589,SR589 TO SCOTLAND LN
DAYLIGHT,CLEAR,,DRY,-115.1704303,36.14397248,INJURY CRASH,01/03/2016,12,S,NHP,2224390,476978816.39797306,181083.82684135,1,10949.97071439,17.10932924,476978816.398,181083.826841,IR15N TO SR589W/E INT40,SR589
DAYLIGHT,CLOUDY,NONE,DRY,-115.22413190000002,36.172849400000004,INJURY CRASH,01/03/2016,0,AT INT,NHP,2215028,476978816.39797306,181083.82684135,1,10949.97071439,17.10932924,476978816.398,181083.826841,SR596,SR596N TO US95S INT80
DARK - CONTINUOUS LIGHTING,CLEAR,NONE,DRY,-115.2230624,36.20290658,INJURY CRASH,01/03/2016,200,E,LVMPD,2210240,396602583.98757404,258219.53201136,5,9105.88864499,14.22795101,396650922.76699996,258828.92186799998,SMOKE RANCH RD,JONES BLVD
DARK - SPOT LIGHTING,CLEAR,NONE,DRY,-115.1470075,36.17537738,PROPERTY DAMAGE ONLY,01/03/2016,50,E,NHP,2215026,396602583.98757404,258219.53201136,5,9105.88864499,14.22795101,396650922.76699996,258828.92186799998,US95N,US95N TO IR15S INT42
DAYLIGHT,CLOUDY,NONE,DRY,-115.2579447,36.26745964,INJURY CRASH,01/05/2016,200,N,NHP,2224430,1396099629.68306,625331.69844141,6,31991.49041434,49.98670378,1393543746.89,619305.71957,US95S,US95S TO FRCL22E/W INT86
DARK - SPOT LIGHTING,UNKNOWN,DEBRIS,DRY,-115.18421370000002,36.17548041,PROPERTY DAMAGE ONLY,01/03/2016,500,E,NHP,2215055,396602583.98757404,258219.53201136,5,9105.88864499,14.22795101,396650922.76699996,258828.92186799998,US95N,US95N TO VALLEY VIEW BLVD N/S
DARK - SPOT LIGHTING,CLEAR,NONE,DRY,-115.1812725,36.17524414,PROPERTY DAMAGE ONLY,01/03/2016,600,S,NHP,2224386,396602583.98757404,258219.53201136,5,9105.88864499,14.22795101,396650922.76699996,258828.92186799998,US95N,SR599 TO US95N INT77
DAYLIGHT,CLOUDY,NONE,DRY,-115.3395617,36.20511766,INJURY CRASH,01/03/2016,20,E,NHP,2215029,553002311.092394,288225.99693598,4,12706.62489887,19.85410141,553498366.595,290462.375356,LAKE MEAD BLVD,CC215N TO LAKE MEAD BLVD E
DAYLIGHT,CLOUDY: RAIN,"WET, ICY, SNOW, SLUSH",DRY,-115.259957,36.27472929,INJURY CRASH,01/04/2016,598,E,LVMPD,2221451,1396099629.68306,625331.69844141,6,31991.49041434,49.98670378,1393543746.89,619305.71957,AZURE DR,SKY POINTE DR
DARK - SPOT LIGHTING,CLEAR,NONE,DRY,-115.26954350000001,36.2910104,INJURY CRASH,01/04/2016,20,W,LVMPD,2210261,1396099629.68306,625331.69844141,6,31991.49041434,49.98670378,1393543746.89,619305.71957,ELKHORN RD,N CIMARRON RD
DAYLIGHT,RAIN,"WET, ICY, SNOW, SLUSH",DRY,-115.31730549999999,36.28822707,INJURY CRASH,01/04/2016,700,W,LVMPD,2221445,1396099629.68306,625331.69844141,6,31991.49041434,49.98670378,1393543746.89,619305.71957,W DORRELL LN,N HUALAPAI WAY
DAYLIGHT,RAIN,ACTIVE WORK ZONE,DRY,-115.32717379999998,36.26291039,PROPERTY DAMAGE ONLY,01/04/2016,200,N,NHP,2215045,1396099629.68306,625331.69844141,6,31991.49041434,49.98670378,1393543746.89,619305.71957,CC215S,ANN RD
DAYLIGHT,CLOUDY,NONE,DRY,-115.2818764,36.29356342,PROPERTY DAMAGE ONLY,01/04/2016,61,N,NHP,2215052,1396099629.68306,625331.69844141,6,31991.49041434,49.98670378,1393543746.89,619305.71957,DURANGO DR TO US95S INT93,US95S
DAYLIGHT,CLOUDY,"WEATHER: WET, ICY, SNOW, SLUSH",DRY,-115.288018,36.29495063,INJURY CRASH,01/04/2016,0,AT INT,NHP,2224409,1396099629.68306,625331.69844141,6,31991.49041434,49.98670378,1393543746.89,619305.71957,N DURANGO DR,OSO BLANCA RD
DAYLIGHT,CLOUDY: RAIN,NONE,DRY,-115.31767759999998,36.17840399,PROPERTY DAMAGE ONLY,01/04/2016,0,AT INT,LVMPD,2221447,814842368.871134,159606.44090370002,2,18706.28164028,29.22856507,814842368.871,159606.440904,N TOWN CENTER DR,N HUALAPAI WAY
DAYLIGHT,RAIN,"WET, ICY, SNOW, SLUSH",DRY,-115.2805264,36.1589124,INJURY CRASH,01/04/2016,71,W,LVMPD,2221449,814842368.871134,159606.44090370002,2,18706.28164028,29.22856507,814842368.871,159606.440904,SR159,S DURANGO DR
DAYLIGHT,CLOUDY,NONE,DRY,-115.297898,36.14427245,INJURY CRASH,01/04/2016,63,W,LVMPD,2221452,814842368.871134,159606.44090370002,2,18706.28164028,29.22856507,814842368.871,159606.440904,SAHARA AVE,FORT APACHE RD
DARK - CONTINUOUS LIGHTING,CLOUDY,NONE,DRY,-115.29708729999999,36.13043608,INJURY CRASH,01/04/2016,251,N,LVMPD,2221463,814842368.871134,159606.44090370002,2,18706.28164028,29.22856507,814842368.871,159606.440904,FORT APACHE RD,DESERT INN RD
DAYLIGHT,CLEAR,"WET, ICY, SNOW, SLUSH",WET,-115.28623390000001,36.17778435,PROPERTY DAMAGE ONLY,01/04/2016,5,E,NHP,2224437,814842368.871134,159606.44090370002,2,18706.28164028,29.22856507,814842368.871,159606.440904,RAMPART BLVD TO SUMMERLIN PKWY W,W SUMMERLIN PKWY
DARK - SPOT LIGHTING,CLOUDY: RAIN,NONE,DRY,-115.10462749999999,36.1483643,PROPERTY DAMAGE ONLY,01/04/2016,50,S,LVMPD,2210260,321293667.394449,122795.074116,3,7375.91718487,11.5248706,321293667.394,122795.074116,SR582,E ST LOUIS AVE
DAYLIGHT,CLOUDY: RAIN,NONE,DRY,-115.13703629999999,36.14550811,INJURY CRASH,01/04/2016,0,AT INT,LVMPD,2221442,321293667.394449,122795.074116,3,7375.91718487,11.5248706,321293667.394,122795.074116,MARYLAND PKWY,ALMOND TREE LN
DAYLIGHT,CLOUDY,NONE,DRY,-115.10010679999999,36.16153354,PROPERTY DAMAGE ONLY,01/04/2016,1100,N,LVMPD,2210248,321293667.394449,122795.074116,3,7375.91718487,11.5248706,321293667.394,122795.074116,N PECOS RD,SR159
DAYLIGHT,CLOUDY,"WET, ICY, SNOW, SLUSH",DRY,-115.1427034,36.16847153,INJURY CRASH,01/04/2016,46,W,LVMPD,2210250,321293667.394449,122795.074116,3,7375.91718487,11.5248706,321293667.394,122795.074116,CARSON AVE,S 4TH ST
DAYLIGHT,CLOUDY,NONE,DRY,-115.0621065,36.16742008,INJURY CRASH,01/04/2016,380,N,LVMPD,2210251,321293667.394449,122795.074116,3,7375.91718487,11.5248706,321293667.394,122795.074116,SR612,STEWART AVE
